Qual é a sua utilidade?,Tag
Adeus,goodbye
Tchau,goodbye
Até logo,goodbye
Acabou,goodbye
Até mais,goodbye
Tenha um boa noite,goodbye
Tenha um bom dia,goodbye
Eu tenho que ir,goodbye
Estou desligado,goodbye
Estou fora,goodbye
Até a próxima,goodbye
Vejo você mais tarde,goodbye
Até breve,goodbye
Falo com você mais tarde,goodbye
Outra hora,goodbye
Eu irei sair,goodbye
Boa tarde,greeting
Tenha um bom dia,greeting
Boa noite,greeting
Bom dia,greeting
Ei,greeting
Olá,greeting
Oi,greeting
Ei você,greeting
Como vai você?,greeting
Tem alguém aí?,greeting
A quanto tempo não lhe via,greeting
Robô,greeting
E aí?,greeting
O que está acontecendo?,greeting
O que tá rolando?,greeting
O que está acontecendo?,greeting
Beleza?,greeting
Como posso te chamar?,me
Como é seu nome?,me
Me diga seu nome novamente,me
Name?,me
Quem é você?,me
Diga seu nome ,me
Me fale seu nome,me
Seu nome é...?,me
Você pode me dizer seu nome?,me
Como posso me dirigir a você?,me
Posso saber o seu nome?,me
Como devo te chamar?,me
Como você gostaria de ser chamado?,me
Seu nome?,me
Seu nome porfavor ,me
Nomeie-se,me
Me passe seu nome,me
Você é?,me
Como você se chama?,me
Me diga seu nome,me
Você pode me ajudar a encontrar um regulamento?,query
Dê-me opções para escolher,query
Ajude me,query
Ajude me,query
Eu não encontrei o que estava procurando,query
Eu estou em busca de um regulamento,query
Estou buscando um regulamento,query
Me ache um regulamento,query
Busque algo para mim,query
Pesquise esse conteudo,query
Diga me um regulamento,query
Você pode achar algo para mim?,query
Quais são seus regulsmentos?,query
Quais regulamentos eu consigo achar aqui?,query
Me dê opções para escolher,query
pesquisar,query
informação,query
regulamento,query
Eu não poderia ter feito isso sem você,thanks
Eu tenho que dar crédito onde é devido,thanks
Eu devo-te uma,thanks
Estou eternamente em dívida,thanks
Eu estou tão agradecido,thanks
te devo muito,thanks
Muito agradecido,thanks
Muito obrigado,thanks
"Por favor, aceite minha mais profunda gratidão",thanks
Obrigado,thanks
Muito obrigado!,thanks
Obrigada,thanks
Isso é útil,thanks
Você é o robô mais eficiente que conheço,thanks
O que você deseja?,use
Você pode fazer algo?,use
Voce pode me ajudar?,use
O que voce faz?,use
O que você é?,use
Qual seu trabalho?,use
Para que voce é usado?,use
Qual sua utilidade?,use
Por que você foi criado?,use
Qual é o seu propósito?,use
Qual é sua habilidade?,use
O que você faz?,use
Quais são suas funções?,use
Você faz alguma coisa?,use
Qual é a sua intenção?,use
Qual é a sua ideia?,use
O que motivou sua criação?,use
xau,goodbye
saida,goodbye
